                     q           qb           bl           blb    
    0.          235.3853m      0.           0.         700.0000m
  700.00000u    234.6980m    700.0000u      0.         700.0000m
    1.40000m    234.0107m      1.4000m      0.         700.0000m
    2.10000m    233.3235m      2.1000m      0.         700.0000m
    2.80000m    232.6365m      2.8000m      0.         700.0000m
    3.50000m    231.9495m      3.5000m      0.         700.0000m
    4.20000m    231.2626m      4.2000m      0.         700.0000m
    4.90000m    230.5759m      4.9000m      0.         700.0000m
    5.60000m    229.8894m      5.6000m      0.         700.0000m
    6.30000m    229.2030m      6.3000m      0.         700.0000m
    7.00000m    228.5168m      7.0000m      0.         700.0000m
    7.70000m    227.8308m      7.7000m      0.         700.0000m
    8.40000m    227.1449m      8.4000m      0.         700.0000m
    9.10000m    226.4594m      9.1000m      0.         700.0000m
    9.80000m    225.7740m      9.8000m      0.         700.0000m
   10.50000m    225.0889m     10.5000m      0.         700.0000m
   11.20000m    224.4040m     11.2000m      0.         700.0000m
   11.90000m    223.7194m     11.9000m      0.         700.0000m
   12.60000m    223.0351m     12.6000m      0.         700.0000m
   13.30000m    222.3511m     13.3000m      0.         700.0000m
   14.00000m    221.6674m     14.0000m      0.         700.0000m
   14.70000m    220.9840m     14.7000m      0.         700.0000m
   15.40000m    220.3009m     15.4000m      0.         700.0000m
   16.10000m    219.6182m     16.1000m      0.         700.0000m
   16.80000m    218.9359m     16.8000m      0.         700.0000m
   17.50000m    218.2539m     17.5000m      0.         700.0000m
   18.20000m    217.5723m     18.2000m      0.         700.0000m
   18.90000m    216.8911m     18.9000m      0.         700.0000m
   19.60000m    216.2103m     19.6000m      0.         700.0000m
   20.30000m    215.5300m     20.3000m      0.         700.0000m
   21.00000m    214.8500m     21.0000m      0.         700.0000m
   21.70000m    214.1705m     21.7000m      0.         700.0000m
   22.40000m    213.4915m     22.4000m      0.         700.0000m
   23.10000m    212.8129m     23.1000m      0.         700.0000m
   23.80000m    212.1348m     23.8000m      0.         700.0000m
   24.50000m    211.4573m     24.5000m      0.         700.0000m
   25.20000m    210.7802m     25.2000m      0.         700.0000m
   25.90000m    210.1036m     25.9000m      0.         700.0000m
   26.60000m    209.4275m     26.6000m      0.         700.0000m
   27.30000m    208.7520m     27.3000m      0.         700.0000m
   28.00000m    208.0770m     28.0000m      0.         700.0000m
   28.70000m    207.4026m     28.7000m      0.         700.0000m
   29.40000m    206.7288m     29.4000m      0.         700.0000m
   30.10000m    206.0555m     30.1000m      0.         700.0000m
   30.80000m    205.3829m     30.8000m      0.         700.0000m
   31.50000m    204.7108m     31.5000m      0.         700.0000m
   32.20000m    204.0394m     32.2000m      0.         700.0000m
   32.90000m    203.3685m     32.9000m      0.         700.0000m
   33.60000m    202.6983m     33.6000m      0.         700.0000m
   34.30000m    202.0288m     34.3000m      0.         700.0000m
   35.00000m    201.3599m     35.0000m      0.         700.0000m
   35.70000m    200.6917m     35.7000m      0.         700.0000m
   36.40000m    200.0241m     36.4000m      0.         700.0000m
   37.10000m    199.3572m     37.1000m      0.         700.0000m
   37.80000m    198.6911m     37.8000m      0.         700.0000m
   38.50000m    198.0256m     38.5000m      0.         700.0000m
   39.20000m    197.3608m     39.2000m      0.         700.0000m
   39.90000m    196.6968m     39.9000m      0.         700.0000m
   40.60000m    196.0335m     40.6000m      0.         700.0000m
   41.30000m    195.3709m     41.3000m      0.         700.0000m
   42.00000m    194.7091m     42.0000m      0.         700.0000m
   42.70000m    194.0481m     42.7000m      0.         700.0000m
   43.40000m    193.3878m     43.4000m      0.         700.0000m
   44.10000m    192.7283m     44.1000m      0.         700.0000m
   44.80000m    192.0695m     44.8000m      0.         700.0000m
   45.50000m    191.4116m     45.5000m      0.         700.0000m
   46.20000m    190.7545m     46.2000m      0.         700.0000m
   46.90000m    190.0982m     46.9000m      0.         700.0000m
   47.60000m    189.4427m     47.6000m      0.         700.0000m
   48.30000m    188.7880m     48.3000m      0.         700.0000m
   49.00000m    188.1342m     49.0000m      0.         700.0000m
   49.70000m    187.4812m     49.7000m      0.         700.0000m
   50.40000m    186.8291m     50.4000m      0.         700.0000m
   51.10000m    186.1778m     51.1000m      0.         700.0000m
   51.80000m    185.5274m     51.8000m      0.         700.0000m
   52.50000m    184.8779m     52.5000m      0.         700.0000m
   53.20000m    184.2292m     53.2000m      0.         700.0000m
   53.90000m    183.5814m     53.9000m      0.         700.0000m
   54.60000m    182.9346m     54.6000m      0.         700.0000m
   55.30000m    182.2886m     55.3000m      0.         700.0000m
   56.00000m    181.6436m     56.0000m      0.         700.0000m
   56.70000m    180.9994m     56.7000m      0.         700.0000m
   57.40000m    180.3562m     57.4000m      0.         700.0000m
   58.10000m    179.7139m     58.1000m      0.         700.0000m
   58.80000m    179.0726m     58.8000m      0.         700.0000m
   59.50000m    178.4322m     59.5000m      0.         700.0000m
   60.20000m    177.7927m     60.2000m      0.         700.0000m
   60.90000m    177.1542m     60.9000m      0.         700.0000m
   61.60000m    176.5167m     61.6000m      0.         700.0000m
