                    x0           x1           x2           x3
    0.          699.9998m      0.         699.9998m      0.
  700.00000u    699.9998m    700.0000u    699.9998m    700.0000u
    1.40000m    699.9998m      1.4000m    699.9998m      1.4000m
    2.10000m    699.9998m      2.1000m    699.9998m      2.1000m
    2.80000m    699.9998m      2.8000m    699.9998m      2.8000m
    3.50000m    699.9998m      3.5000m    699.9998m      3.5000m
    4.20000m    699.9997m      4.2000m    699.9997m      4.2000m
    4.90000m    699.9997m      4.9000m    699.9997m      4.9000m
    5.60000m    699.9997m      5.6000m    699.9997m      5.6000m
    6.30000m    699.9997m      6.3000m    699.9997m      6.3000m
    7.00000m    699.9997m      7.0000m    699.9997m      7.0000m
    7.70000m    699.9997m      7.7000m    699.9997m      7.7000m
    8.40000m    699.9997m      8.4000m    699.9997m      8.4000m
    9.10000m    699.9997m      9.1000m    699.9997m      9.1000m
    9.80000m    699.9997m      9.8000m    699.9997m      9.8000m
   10.50000m    699.9997m     10.5000m    699.9997m     10.5000m
   11.20000m    699.9997m     11.2000m    699.9997m     11.2000m
   11.90000m    699.9997m     11.9000m    699.9997m     11.9000m
   12.60000m    699.9997m     12.6000m    699.9997m     12.6000m
   13.30000m    699.9997m     13.3000m    699.9997m     13.3000m
   14.00000m    699.9997m     14.0000m    699.9997m     14.0000m
   14.70000m    699.9997m     14.7000m    699.9997m     14.7000m
   15.40000m    699.9997m     15.4000m    699.9997m     15.4000m
   16.10000m    699.9997m     16.1000m    699.9997m     16.1000m
   16.80000m    699.9996m     16.8000m    699.9996m     16.8000m
   17.50000m    699.9996m     17.5000m    699.9996m     17.5000m
   18.20000m    699.9996m     18.2000m    699.9996m     18.2000m
   18.90000m    699.9996m     18.9000m    699.9996m     18.9000m
   19.60000m    699.9996m     19.6000m    699.9996m     19.6000m
   20.30000m    699.9996m     20.3000m    699.9996m     20.3000m
   21.00000m    699.9996m     21.0000m    699.9996m     21.0000m
   21.70000m    699.9996m     21.7000m    699.9996m     21.7000m
   22.40000m    699.9996m     22.4000m    699.9996m     22.4000m
   23.10000m    699.9996m     23.1000m    699.9996m     23.1000m
   23.80000m    699.9996m     23.8000m    699.9996m     23.8000m
   24.50000m    699.9996m     24.5000m    699.9996m     24.5000m
   25.20000m    699.9995m     25.2000m    699.9995m     25.2000m
   25.90000m    699.9995m     25.9000m    699.9995m     25.9000m
   26.60000m    699.9995m     26.6000m    699.9995m     26.6000m
   27.30000m    699.9995m     27.3000m    699.9995m     27.3000m
   28.00000m    699.9995m     28.0000m    699.9995m     28.0000m
   28.70000m    699.9995m     28.7000m    699.9995m     28.7000m
   29.40000m    699.9995m     29.4000m    699.9995m     29.4000m
   30.10000m    699.9995m     30.1000m    699.9995m     30.1000m
   30.80000m    699.9995m     30.8000m    699.9995m     30.8000m
   31.50000m    699.9995m     31.5000m    699.9995m     31.5000m
   32.20000m    699.9994m     32.2000m    699.9994m     32.2000m
   32.90000m    699.9994m     32.9000m    699.9994m     32.9000m
   33.60000m    699.9994m     33.6000m    699.9994m     33.6000m
   34.30000m    699.9994m     34.3000m    699.9994m     34.3000m
   35.00000m    699.9994m     35.0000m    699.9994m     35.0000m
   35.70000m    699.9994m     35.7000m    699.9994m     35.7000m
   36.40000m    699.9994m     36.4000m    699.9994m     36.4000m
   37.10000m    699.9993m     37.1000m    699.9993m     37.1000m
   37.80000m    699.9993m     37.8000m    699.9993m     37.8000m
   38.50000m    699.9993m     38.5000m    699.9993m     38.5000m
   39.20000m    699.9993m     39.2000m    699.9993m     39.2000m
   39.90000m    699.9993m     39.9000m    699.9993m     39.9000m
   40.60000m    699.9993m     40.6000m    699.9993m     40.6000m
   41.30000m    699.9992m     41.3000m    699.9992m     41.3000m
   42.00000m    699.9992m     42.0000m    699.9992m     42.0000m
   42.70000m    699.9992m     42.7000m    699.9992m     42.7000m
   43.40000m    699.9992m     43.4000m    699.9992m     43.4000m
   44.10000m    699.9992m     44.1000m    699.9992m     44.1000m
   44.80000m    699.9991m     44.8000m    699.9991m     44.8000m
   45.50000m    699.9991m     45.5000m    699.9991m     45.5000m
   46.20000m    699.9991m     46.2000m    699.9991m     46.2000m
   46.90000m    699.9991m     46.9000m    699.9991m     46.9000m
   47.60000m    699.9991m     47.6000m    699.9991m     47.6000m
   48.30000m    699.9990m     48.3000m    699.9990m     48.3000m
   49.00000m    699.9990m     49.0000m    699.9990m     49.0000m
   49.70000m    699.9990m     49.7000m    699.9990m     49.7000m
   50.40000m    699.9990m     50.4000m    699.9990m     50.4000m
   51.10000m    699.9989m     51.1000m    699.9989m     51.1000m
   51.80000m    699.9989m     51.8000m    699.9989m     51.8000m
   52.50000m    699.9989m     52.5000m    699.9989m     52.5000m
   53.20000m    699.9988m     53.2000m    699.9988m     53.2000m
   53.90000m    699.9988m     53.9000m    699.9988m     53.9000m
   54.60000m    699.9988m     54.6000m    699.9988m     54.6000m
   55.30000m    699.9988m     55.3000m    699.9988m     55.3000m
   56.00000m    699.9987m     56.0000m    699.9987m     56.0000m
   56.70000m    699.9987m     56.7000m    699.9987m     56.7000m
   57.40000m    699.9987m     57.4000m    699.9987m     57.4000m
   58.10000m    699.9986m     58.1000m    699.9986m     58.1000m
   58.80000m    699.9986m     58.8000m    699.9986m     58.8000m
   59.50000m    699.9985m     59.5000m    699.9985m     59.5000m
   60.20000m    699.9985m     60.2000m    699.9985m     60.2000m
   60.90000m    699.9985m     60.9000m    699.9985m     60.9000m
   61.60000m    699.9984m     61.6000m    699.9984m     61.6000m
   62.30000m    699.9984m     62.3000m    699.9984m     62.3000m
   63.00000m    699.9984m     63.0000m    699.9984m     63.0000m
   63.70000m    699.9983m     63.7000m    699.9983m     63.7000m
   64.40000m    699.9983m     64.4000m    699.9983m     64.4000m
   65.10000m    699.9982m     65.1000m    699.9982m     65.1000m
   65.80000m    699.9982m     65.8000m    699.9982m     65.8000m
   66.50000m    699.9981m     66.5000m    699.9981m     66.5000m
   67.20000m    699.9981m     67.2000m    699.9981m     67.2000m
   67.90000m    699.9980m     67.9000m    699.9980m     67.9000m
   68.60000m    699.9980m     68.6000m    699.9980m     68.6000m
   69.30000m    699.9979m     69.3000m    699.9979m     69.3000m
   70.00000m    699.9979m     70.0000m    699.9979m     70.0000m
   70.70000m    699.9978m     70.7000m    699.9978m     70.7000m
   71.40000m    699.9977m     71.4000m    699.9977m     71.4000m
   72.10000m    699.9977m     72.1000m    699.9977m     72.1000m
   72.80000m    699.9976m     72.8000m    699.9976m     72.8000m
   73.50000m    699.9976m     73.5000m    699.9976m     73.5000m
   74.20000m    699.9975m     74.2000m    699.9975m     74.2000m
   74.90000m    699.9974m     74.9000m    699.9974m     74.9000m
   75.60000m    699.9974m     75.6000m    699.9974m     75.6000m
   76.30000m    699.9973m     76.3000m    699.9973m     76.3000m
   77.00000m    699.9972m     77.0000m    699.9972m     77.0000m
   77.70000m    699.9971m     77.7000m    699.9971m     77.7000m
   78.40000m    699.9971m     78.4000m    699.9971m     78.4000m
   79.10000m    699.9970m     79.1000m    699.9970m     79.1000m
