            bl           blb          bit          we
0.          642.7973m    539.1205m    700.0000m    700.0000m
10.00000p    642.7973m    539.1205m    700.0000m    700.0000m
20.00000p    642.7973m    539.1205m    700.0000m    700.0000m
30.00000p    642.7973m    539.1205m    700.0000m    700.0000m
40.00000p    642.7973m    539.1205m    700.0000m    700.0000m
50.00000p    642.7973m    539.1205m    700.0000m    700.0000m
60.00000p    642.7973m    539.1205m    700.0000m    700.0000m
70.00000p    642.7973m    539.1205m    700.0000m    700.0000m
80.00000p    642.7973m    539.1205m    700.0000m    700.0000m
90.00000p    642.7973m    539.1205m    700.0000m    700.0000m
100.00000p    642.7973m    539.1205m    700.0000m    700.0000m
110.00000p    642.7973m    539.1205m    700.0000m    700.0000m
120.00000p    642.7973m    539.1205m    700.0000m    700.0000m
130.00000p    642.7973m    539.1205m    700.0000m    700.0000m
140.00000p    642.7973m    539.1205m    700.0000m    700.0000m
150.00000p    642.7973m    539.1205m    700.0000m    700.0000m
160.00000p    642.7973m    539.1205m    700.0000m    700.0000m
170.00000p    642.7973m    539.1205m    700.0000m    700.0000m
180.00000p    642.7973m    539.1205m    700.0000m    700.0000m
190.00000p    642.7973m    539.1205m    700.0000m    700.0000m
200.00000p    642.7973m    539.1205m    700.0000m    700.0000m
210.00000p    642.7973m    539.1205m    700.0000m    700.0000m
220.00000p    642.7973m    539.1205m    700.0000m    700.0000m
230.00000p    642.7973m    539.1205m    700.0000m    700.0000m
240.00000p    642.7973m    539.1205m    700.0000m    700.0000m
250.00000p    642.7973m    539.1205m    700.0000m    700.0000m
260.00000p    642.7973m    539.1205m    700.0000m    700.0000m
270.00000p    642.7973m    539.1205m    700.0000m    700.0000m
280.00000p    642.7973m    539.1205m    700.0000m    700.0000m
290.00000p    643.5838m    538.0377m    700.0000m    700.0000m
300.00000p    645.7075m    529.4109m    700.0000m    700.0000m
310.00000p    647.5421m    517.3781m    700.0000m    700.0000m
320.00000p    649.0661m    504.8050m    700.0000m    700.0000m
330.00000p    650.5734m    492.3195m    700.0000m    700.0000m
340.00000p    651.9440m    480.5586m    700.0000m    700.0000m
350.00000p    653.3101m    468.8212m    700.0000m    700.0000m
360.00000p    654.6763m    457.0837m    700.0000m    700.0000m
370.00000p    656.0424m    445.3463m    700.0000m    700.0000m
380.00000p    657.4085m    433.6089m    700.0000m    700.0000m
390.00000p    658.5634m    423.0111m    700.0000m    700.0000m
400.00000p    659.5699m    413.2130m    700.0000m    700.0000m
410.00000p    660.5764m    403.4149m    700.0000m    700.0000m
420.00000p    661.5829m    393.6168m    700.0000m    700.0000m
430.00000p    662.5894m    383.8187m    700.0000m    700.0000m
440.00000p    663.5959m    374.0206m    700.0000m    700.0000m
450.00000p    664.6025m    364.2225m    700.0000m    700.0000m
460.00000p    665.6090m    354.4244m    700.0000m    700.0000m
470.00000p    666.6155m    344.6263m    700.0000m    700.0000m
480.00000p    667.6220m    334.8282m    700.0000m    700.0000m
490.00000p    668.6285m    325.0301m    700.0000m    700.0000m
500.00000p    669.6350m    315.2320m    700.0000m    700.0000m
510.00000p    670.6416m    305.4339m    700.0000m    700.0000m
520.00000p    671.6481m    295.6358m    700.0000m    700.0000m
530.00000p    672.6546m    285.8377m    700.0000m    700.0000m
540.00000p    673.6611m    276.0396m    700.0000m    700.0000m
550.00000p    674.6676m    266.2416m    700.0000m    700.0000m
560.00000p    675.5334m    257.3897m    700.0000m    700.0000m
570.00000p    676.1581m    250.1585m    700.0000m    700.0000m
580.00000p    676.7827m    242.9273m    700.0000m    700.0000m
590.00000p    677.4074m    235.6961m    700.0000m    700.0000m
600.00000p    678.0321m    228.4649m    700.0000m    700.0000m
610.00000p    678.6568m    221.2337m    700.0000m    700.0000m
620.00000p    679.2815m    214.0025m    700.0000m    700.0000m
630.00000p    679.9061m    206.7714m    700.0000m    700.0000m
640.00000p    680.5308m    199.5402m    700.0000m    700.0000m
650.00000p    681.1555m    192.3090m    700.0000m    700.0000m
660.00000p    681.7802m    185.0778m    700.0000m    700.0000m
670.00000p    682.4049m    177.8466m    700.0000m    700.0000m
680.00000p    683.0295m    170.6154m    700.0000m    700.0000m
690.00000p    683.6542m    163.3842m    700.0000m    700.0000m
700.00000p    684.1015m    158.1089m    700.0000m    700.0000m
710.00000p    684.4989m    153.3831m    700.0000m    700.0000m
720.00000p    684.8963m    148.6573m    700.0000m    700.0000m
730.00000p    685.2937m    143.9314m    700.0000m    700.0000m
740.00000p    685.6912m    139.2056m    700.0000m    700.0000m
750.00000p    686.0886m    134.4798m    700.0000m    700.0000m
760.00000p    686.4860m    129.7540m    700.0000m    700.0000m
770.00000p    686.8834m    125.0281m    700.0000m    700.0000m
780.00000p    687.2809m    120.3023m    700.0000m    700.0000m
790.00000p    687.6783m    115.5765m    700.0000m    700.0000m
800.00000p    688.0757m    110.8506m    700.0000m    700.0000m
