                    x0           x1           x2           x3     
    0.          700.0000m      0.         700.0000m      0.
   10.00000p    699.9998m      0.         699.9998m      0.
   20.00000p    699.9998m      0.         699.9998m      0.
   30.00000p    699.9998m      0.         699.9998m      0.
   40.00000p    699.9998m      0.         699.9998m      0.
   50.00000p    699.9998m      0.         699.9998m      0.
   60.00000p    699.9998m      0.         699.9998m      0.
   70.00000p    699.9998m      0.         699.9998m      0.
   80.00000p    699.9998m      0.         699.9998m      0.
   90.00000p    699.9998m      0.         699.9998m      0.
  100.00000p    699.9998m      0.         699.9998m      0.
  110.00000p    699.9998m      0.         699.9998m      0.
  120.00000p    699.9998m      0.         699.9998m      0.
  130.00000p    699.9998m      0.         699.9998m      0.
  140.00000p    699.9998m      0.         699.9998m      0.
  150.00000p    699.9998m      0.         699.9998m      0.
  160.00000p    699.9998m      0.         699.9998m      0.
  170.00000p    699.9998m      0.         699.9998m      0.
  180.00000p    699.9998m      0.         699.9998m      0.
  190.00000p    699.9998m      0.         699.9998m      0.
  200.00000p    699.9998m      0.         699.9998m      0.
  210.00000p    699.9998m      0.         699.9998m      0.
  220.00000p    699.9998m      0.         699.9998m      0.
  230.00000p    699.9998m      0.         699.9998m      0.
  240.00000p    699.9998m      0.         699.9998m      0.
  250.00000p    699.9998m      0.         699.9998m      0.
  260.00000p    699.9998m      0.         699.9998m      0.
  270.00000p    699.9998m      0.         699.9998m      0.
  280.00000p    699.9998m      0.         699.9998m      0.
  290.00000p    699.9998m      0.         699.9998m      0.
  300.00000p    699.9998m      0.         699.9998m      0.
  310.00000p    699.9998m      0.         699.9998m      0.
  320.00000p    699.9998m      0.         699.9998m      0.
  330.00000p    699.9998m      0.         699.9998m      0.
  340.00000p    699.9998m      0.         699.9998m      0.
  350.00000p    699.9998m      0.         699.9998m      0.
  360.00000p    699.9998m      0.         699.9998m      0.
  370.00000p    699.9998m      0.         699.9998m      0.
  380.00000p    699.9998m      0.         699.9998m      0.
  390.00000p    699.9998m      0.         699.9998m      0.
