                    bit          we           wl           pre
    0.            0.         700.0000m      0.         700.0000m
   10.00000p      0.         700.0000m      0.         700.0000m
   20.00000p      0.         700.0000m      0.         700.0000m
   30.00000p      0.         700.0000m      0.         700.0000m
   40.00000p      0.         700.0000m      0.         700.0000m
   50.00000p      0.         700.0000m      0.         700.0000m
   60.00000p      0.         700.0000m      0.         700.0000m
   70.00000p      0.         700.0000m      0.         700.0000m
   80.00000p      0.         700.0000m      0.         700.0000m
   90.00000p      0.         700.0000m      0.         700.0000m
  100.00000p      0.         700.0000m      0.         700.0000m
  110.00000p      0.         700.0000m      0.         700.0000m
  120.00000p      0.         700.0000m      0.         700.0000m
  130.00000p      0.         700.0000m      0.         700.0000m
  140.00000p      0.         700.0000m      0.         700.0000m
  150.00000p      0.         700.0000m      0.         700.0000m
  160.00000p      0.         700.0000m      0.         700.0000m
  170.00000p      0.         700.0000m      0.         700.0000m
  180.00000p      0.         700.0000m      0.         700.0000m
  190.00000p      0.         700.0000m      0.         700.0000m
  200.00000p      0.         700.0000m      0.         700.0000m
  210.00000p      0.         700.0000m      0.         700.0000m
  220.00000p      0.         700.0000m      0.         700.0000m
  230.00000p      0.         700.0000m      0.         700.0000m
  240.00000p      0.         700.0000m      0.         700.0000m
  250.00000p      0.         700.0000m      0.         700.0000m
  260.00000p      0.         700.0000m      0.         700.0000m
  270.00000p      0.         700.0000m      0.         700.0000m
  280.00000p      0.         700.0000m      0.         700.0000m
  290.00000p      0.         700.0000m      0.         550.0000m
  300.00000p      0.         700.0000m      0.         200.0000m
  310.00000p      0.         700.0000m      0.           0.
  320.00000p      0.         700.0000m      0.           0.
  330.00000p      0.         700.0000m      0.           0.
  340.00000p      0.         700.0000m      0.           0.
  350.00000p      0.         700.0000m      0.           0.
  360.00000p      0.         700.0000m      0.           0.
  370.00000p      0.         700.0000m      0.           0.
  380.00000p      0.         700.0000m      0.           0.
  390.00000p      0.         700.0000m      0.           0.
  400.00000p      0.         700.0000m      0.           0.
  410.00000p      0.         700.0000m      0.           0.
  420.00000p      0.         700.0000m      0.           0.
  430.00000p      0.         700.0000m      0.           0.
  440.00000p      0.         700.0000m      0.           0.
  450.00000p      0.         700.0000m      0.           0.
  460.00000p      0.         700.0000m      0.           0.
  470.00000p      0.         700.0000m      0.           0.
  480.00000p      0.         700.0000m      0.           0.
  490.00000p      0.         700.0000m      0.           0.
  500.00000p      0.         700.0000m      0.           0.
  510.00000p      0.         700.0000m      0.           0.
  520.00000p      0.         700.0000m      0.           0.
  530.00000p      0.         700.0000m      0.           0.
  540.00000p      0.         700.0000m      0.           0.
  550.00000p      0.         700.0000m      0.           0.
  560.00000p      0.         700.0000m      0.           0.
  570.00000p      0.         700.0000m      0.           0.
  580.00000p      0.         700.0000m      0.           0.
  590.00000p      0.         700.0000m      0.           0.
  600.00000p      0.         700.0000m      0.           0.
  610.00000p      0.         700.0000m      0.           0.
  620.00000p      0.         700.0000m      0.           0.
  630.00000p      0.         700.0000m      0.           0.
  640.00000p      0.         700.0000m      0.           0.
  650.00000p      0.         700.0000m      0.           0.
  660.00000p      0.         700.0000m      0.           0.
  670.00000p      0.         700.0000m      0.           0.
  680.00000p      0.         700.0000m      0.           0.
  690.00000p      0.         700.0000m      0.           0.
  700.00000p      0.         700.0000m      0.           0.
  710.00000p      0.         700.0000m      0.           0.
  720.00000p      0.         700.0000m      0.           0.
