             q           qb           q2           q2b    
0.          699.9998m      0.         700.0000m      0.
10.00000p    701.5192m    -79.2194u    700.5250m     88.0152m
20.00000p    700.3900m     12.8712u    700.1690m     93.9789m
30.00000p    700.1825m      1.3338u    700.0787m     96.2925m
40.00000p    700.0572m    -45.9893u    700.0106m     97.6265m
50.00000p    700.0402m      3.0346u    700.0183m     98.0257m
60.00000p    700.0232m     52.0586u    700.0259m     98.4249m
70.00000p    700.0108m     29.6576u    700.0136m     98.4830m
80.00000p    699.9991m     -4.8118u    699.9980m     98.4835m
90.00000p    699.9875m    -39.2812u    699.9823m     98.4840m
100.00000p    699.9852m    -45.7383u    699.9794m     98.4869m
110.00000p    699.9924m    -23.6726u    699.9894m     98.4922m
120.00000p    699.9996m     -1.6068u    699.9995m     98.4975m
130.00000p    700.0068m     20.4590u    700.0096m     98.5027m
140.00000p    700.0140m     42.5247u    700.0196m     98.5080m
150.00000p    700.0166m     50.6171u    700.0233m     98.5102m
160.00000p    700.0128m     39.0885u    700.0180m     98.5081m
170.00000p    700.0089m     27.5598u    700.0126m     98.5060m
180.00000p    700.0050m     16.0311u    700.0073m     98.5038m
190.00000p    700.0011m      4.5024u    700.0020m     98.5017m
200.00000p    699.9973m     -7.0262u    699.9966m     98.4996m
210.00000p    699.9934m    -18.5549u    699.9913m     98.4974m
220.00000p    699.9895m    -30.0836u    699.9860m     98.4953m
230.00000p    699.9857m    -41.6122u    699.9806m     98.4932m
240.00000p    699.9818m    -53.1409u    699.9753m     98.4910m
250.00000p    699.9887m    -32.9664u    699.9847m     98.4948m
260.00000p    699.9969m     -8.8882u    699.9959m     98.4994m
270.00000p    700.0051m     15.1900u    700.0071m     98.5039m
280.00000p    700.0134m     39.2683u    700.0183m     98.5085m
290.00000p    703.2789m    362.3929u    701.6724m    109.8046m
300.00000p    722.8585m    156.7241u    711.4054m    247.0452m
310.00000p    730.8204m    505.6108u    716.5900m    384.7380m
320.00000p    739.1425m    -16.8277u    722.6383m    461.8535m
330.00000p    738.7855m    -23.8708u    723.2134m    485.8884m
340.00000p    737.7079m    -51.3859u    723.2450m    499.9164m
350.00000p    736.6946m    -25.7508u    723.1003m    508.4983m
360.00000p    735.7477m    -45.9827u    722.8940m    515.0485m
370.00000p    734.8911m     -3.7095u    722.6918m    520.1353m
380.00000p    734.1928m    -15.6620u    722.4765m    523.8795m
390.00000p    733.5069m    -31.8787u    722.2603m    527.5180m
400.00000p    732.9076m    -32.6731u    722.0625m    530.5687m
410.00000p    732.3929m    -18.3708u    721.8828m    533.0438m
420.00000p    731.8782m     -4.0684u    721.7031m    535.5190m
430.00000p    731.3962m      6.2446u    721.5294m    537.8258m
440.00000p    731.0472m      0.         721.3804m    539.4487m
450.00000p    730.6982m     -5.5648u    721.2313m    541.0715m
460.00000p    730.3492m    -11.4696u    721.0822m    542.6943m
470.00000p    730.0002m    -17.3743u    720.9331m    544.3171m
480.00000p    729.6512m    -23.2790u    720.7841m    545.9399m
490.00000p    729.3044m    -28.9742u    720.6358m    547.5525m
500.00000p    729.0721m    -23.4914u    720.5291m    548.6161m
510.00000p    728.8398m    -18.0085u    720.4223m    549.6797m
520.00000p    728.6074m    -12.5256u    720.3156m    550.7433m
530.00000p    728.3751m     -7.0427u    720.2089m    551.8069m
540.00000p    728.1428m     -1.5598u    720.1022m    552.8705m
550.00000p    727.9105m      3.9231u    719.9954m    553.9341m
560.00000p    727.6782m      9.4060u    719.8887m    554.9977m
570.00000p    727.4586m     13.5359u    719.7861m    556.0069m
580.00000p    727.3088m     10.2585u    719.7062m    556.7183m
590.00000p    727.1590m      6.9811u    719.6264m    557.4297m
600.00000p    727.0093m      3.7038u    719.5465m    558.1411m
610.00000p    726.8595m      0.         719.4666m    558.8525m
620.00000p    726.7097m     -2.8509u    719.3867m    559.5640m
630.00000p    726.5600m     -6.1283u    719.3068m    560.2754m
640.00000p    726.4102m     -9.4056u    719.2269m    560.9868m
650.00000p    726.2604m    -12.6830u    719.1470m    561.6982m
660.00000p    726.1107m    -15.9604u    719.0671m    562.4096m
670.00000p    725.9609m    -19.2377u    718.9873m    563.1211m
680.00000p    725.8111m    -22.5151u    718.9074m    563.8325m
690.00000p    725.6928m    -22.1224u    718.8438m    564.4007m
700.00000p    725.5912m    -19.7848u    718.7887m    564.8930m
710.00000p    725.4895m    -17.4473u    718.7337m    565.3853m
720.00000p    725.3879m    -15.1098u    718.6787m    565.8776m
730.00000p    725.2863m    -12.7723u    718.6237m    566.3700m
740.00000p    725.1846m    -10.4347u    718.5687m    566.8623m
750.00000p    725.0830m     -8.0972u    718.5137m    567.3546m
760.00000p    724.9814m     -5.7597u    718.4587m    567.8469m
770.00000p    724.8797m     -3.4222u    718.4037m    568.3392m
780.00000p    724.7781m     -1.0846u    718.3487m    568.8316m
790.00000p    724.6765m      1.2529u    718.2937m    569.3239m
800.00000p    724.5748m      3.5904u    718.2387m    569.8162m
